#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)

# Core System
,base,"is the minimal package set for Arch Linux"
,base-devel,"provides basic tools for building packages"
,linux,"is the Linux kernel"
,linux-firmware,"provides firmware files for Linux"
,grub,"is the GNU bootloader"
,efibootmgr,"is an EFI boot manager"
,intel-ucode,"provides Intel processor microcode"

# System Services & Libraries
,bash-completion,"provides programmable completion for Bash"
,brightnessctl,"allows reading and controlling device brightness"
,dmidecode,"is a Desktop Management Interface table decoder"
,dosfstools,"provides DOS filesystem utilities"
,fuse2,"is a filesystem in userspace"
,inotify-tools,"provides tools for inotify"
,man-db,"is the manual page database"
,pacman-contrib,"provides contributed scripts for pacman"
,pigz,"is parallel gzip"
,power-profiles-daemon,"is a power profile switching daemon"
,powertop,"is a power consumption analyzer"
,udisks2,"is a disk management service"
,cups,"is the CUPS printing system"
,system-config-printer,"is a printer configuration tool"
,i2c-tools,"is a set of I2C tools use dto be part of lm-sensors"
,iio-sensor-proxy,"is a IIO accelerometer sensor to input device proxy"
,plymouth,"is a boot splash framework"
,hyprpolkitagent,"is the Hyprland polkit agent"
,xdg-dbus-proxy,"is a D-Bus proxy for sandboxed applications"
,xdg-user-dirs,"provides user directory management"
,gst-plugin-pipewire,"is the GStreamer PipeWire plugin"
,libpulse,"provides PulseAudio client libraries"
,pipewire,"is a low-latency audio/video server"
,pipewire-alsa,"provides ALSA configuration for PipeWire"
,pipewire-jack,"is the JACK replacement for PipeWire"
,pipewire-pulse,"is the PulseAudio replacement for PipeWire"
,sof-firmware,"is the Sound Open Firmware"
,wireplumber,"is the session/policy manager for PipeWire"
,qt5-declarative,"is the Qt5 declarative framework"
,qt5-graphicaleffects,"provides Qt5 graphical effects"
,qt5-imageformats,"provides Qt5 image format plugins"
,qt5-svg,"provides Qt5 SVG support"
,qt6-imageformats,"provides Qt6 image format plugins"
,qt6-multimedia,"is the Qt6 multimedia framework"
,qt6-quicktimeline,
,qt6-sensors,
,qt5ct,"provides Qt5 configuration tool"
,qt5-wayland,"provides Qt5 Wayland integration"
,qt6ct,"provides Qt6 configuration tool"
,qt6-tools,"provides Qt6 development tools"
,qt6-virtualkeyboard,
,gvfs,"is a virtual filesystem implementation"
,gvfs-mtp,"is the MTP backend for gvfs"
,tumbler,"is a thumbnail service"
,noto-fonts,"provides Noto fonts"
,noto-fonts-emoji,"provides emoji fonts"
,papirus-icon-theme,"is an SVG icon theme"
,ttf-dejavu,"provides DejaVu fonts"
,ttf-jetbrains-mono-nerd,"is the JetBrains Mono Nerd Font"
,woff2-font-awesome,
A,ttf-material-symbols-variable-git,"provides Material Symbols variable font"
,gnome-themes-extra,"provides extra themes for GNOME applications"
,adw-gtk-theme,"is a GTK theme following the Adwaita design language"
,bind,"provides DNS server and utilities"
,iwd,"is the Internet Wireless Daemon"
,ldns,"is a DNS library"
,networkmanager,"is a network connection manager"
,networkmanager-openvpn,"is the OpenVPN plugin for NetworkManager"
,unbound,"is a validating DNS resolver"
,bluez,"is the Linux Bluetooth protocol stack"
,bluez-utils,"provides Bluetooth utilities"
,libvirt,"is a virtualization API"
,spice,"is a remote computing protocol"
,python-libevdev,
,python-passlib,"is a password hashing library"
,python-pipx,"installs Python applications in isolated environments"
,python-setuptools,"provides Python packaging utilities"
,python-qrcode,"is a QR code generator library"
,python-adblock,"is the Brave adblock python library for adblocking in qutebrowser"
,hunspell-en_us,"is the English (US) dictionary for Hunspell"
,hunspell-fr,"is the French dictionary for Hunspell"
,poppler,"is a PDF rendering library"
,poppler-data,"provides encoding data for poppler"
,tesseract,"is an OCR engine"
,tesseract-data-eng,"provides English language data for Tesseract"
,hypridle,"is the Hyprland idle daemon"
,hyprland,"is a dynamic tiling Wayland compositor"
,squeekboard,"is an on-screen keyboard for Wayland"
,xdg-desktop-portal-hyprland,"is the desktop portal for Hyprland"
A,iio-hyprland-git,"is a daemon to enable automatic rotation using iio-proxy-sensor"
A,pam_autologin,"is a PAM autologin module"
,rust,"is a multi-paradigm, general-purpose programming language"
,sccache,"is a ccache-like tool i use for rust"
G,https://github.com/sudo-Tiz/minecraft-plymouth-theme.git,"is a minecraft plymouth theme"
G,https://github.com/sudo-Tiz/minegrub-theme.git,"is a minecraft grub theme"
# Probably not usefull for you
G,https://github.com/sudo-Tiz/asus-numpad.git,"is a numpad trackpad driver for asus laptops"
G,https://github.com/sudo-Tiz/tablet-mode-hotkey,"is a c program to disable keybaord and trackpad as in tablet mode"

# CLI Tools
,bat,"is a cat clone with syntax highlighting"
,bc,"is a mathematics language used for calculations"
,eza,"is a modern replacement for ls"
,fd,"is a simple, fast alternative to find"
,fzf,"is a command-line fuzzy finder"
,jq,"is a JSON processor"
,ripgrep,"is a fast grep alternative"
,yazi,"is a terminal file manager"
,yq,"is a YAML processor"
,zsh,"is the Z shell"
,zsh-autosuggestions,"provides fish-like autosuggestions for ZSH"
A,zsh-theme-powerlevel10k-bin-git,"is the Powerlevel10k ZSH theme"
,ansible,"is an IT automation platform"
,clang,"is a C language family frontend for LLVM"
,cmake,"is a cross-platform build system"
